term_id,date,type
20240826,2024-09-02,holiday
20240826,2024-10-03,workday
20240826,2024-10-04,workday
20240826,2024-11-04,workday
20240826,2024-11-05,workday
20240826,2024-11-11,holiday
20240826,2024-11-27,annual leave
20240826,2024-11-28,holiday
20240826,2024-11-29,holiday
20240826,2024-12-23,annual leave
20240826,2024-12-24,holiday
20240826,2024-12-25,holiday
20240826,2024-12-26,annual leave
20240826,2024-12-27,annual leave
20240826,2024-12-30,annual leave
20240826,2024-12-31,holiday
20240826,2025-01-01,holiday
20240826,2025-01-02,workday
20240826,2025-01-03,workday
20240826,2025-01-20,holiday
20250127,2025-02-17,workday
20250127,2025-03-31,workday
20250127,2025-04-14,annual leave
20250127,2025-04-15,annual leave
20250127,2025-04-16,annual leave
20250127,2025-04-17,annual leave
20250127,2025-04-18,holiday
20250127,2025-04-21,annual leave
20250127,2025-05-26,holiday